Year,Fatal_Accidents,Grievous_Accidents,Minor_Accidents,Non_Injury_Accidents,Total_Accidents,Persons_Killed,Persons_Injured,Total_Persons_Involved
1993,6528,3562,17957,6878,34925,7349,5100,39675
1994,7027,4199,18950,6861,37037,7798,6091,42678
1995,7974,4440,21661,7610,41685,8773,6380,47075
1996,8079,4474,22151,7493,42197,9028,7383,47609
1997,7947,4542,23362,8352,44203,8755,6567,49332
1998,8510,6562,23862,7789,46723,9801,8525,52296
1999,8734,5276,27231,6845,48086,9653,7287,51097
2000,8269,5278,29137,6239,48923,9300,8496,62706
2001,8579,5442,30963,6994,51978,9571,8354,63853
2002,9012,5830,32183,6478,53503,9939,8697,65069
2003,8393,5163,31600,5869,51025,9275,8557,64517
2004,8733,4875,33222,5678,52508,9507,7642,66790
2005,8844,5214,34669,5151,53878,9760,7815,71727
2006,10055,4630,36262,4198,55145,11009,6833,75350
2007,11034,4498,39494,4114,59140,12036,6873,83135
2008,11813,4426,39193,4977,60409,12784,6696,83035
2009,12727,4448,39676,3943,60794,13746,6721,84250
2010,14241,4613,42320,3822,64996,15409,6844,90854
2011,14359,4619,42766,4129,65873,15422,6573,89667
2012,15072,4851,44604,3230,67757,16175,6972,94523
2013,14504,4715,44158,2861,66238,15563,6513,91244
2014,14165,5375,45100,2610,67250,15190,7381,92915
2015,14524,7388,44880,2267,67250,15642,9400,95343
2016,16092,6262,46908,2169,71431,17218,8421,99381
2017,16899,27927,19404,2533,66763,17918,35488,86344
2018,17387,29697,18190,2005,67279,18392,37664,88226
2019,17196,27255,16509,1725,62685,18129,34181,81261
2020,13868,18653,16259,1064,49844,14527,22593,62145
2021,14747,20743,18896,1297,55682,15384,23143,71380
2022,17080,20752,24825,1448,64105,17884,22732,85587
2023,17526,23686,24555,1446,67213,18347,26371,90639
2024,17640,24985,23675,1226,67526,18449,27245,89942
2025,17551,21481,30941,943,70916,18274,22946,94463
